"CodeMission","Titre","TypeMission","Description","Lieu","Frequence","DateDebut","DateFin","HorairesDetail","StatutMission","Priorite","NombreBenevoles","CompetencesRequises","ResponsableMission","SourceCode"
"ACT-0001","Coin Gourmand","Recurrente","","GenÃ¨ve","2 lundi par mois","","","","Planifiee","Moyenne","1","","","ACT-0001"
"ACT-0002","Epicerie distribution","Recurrente","","GenÃ¨ve","Mercredi après-midi","","","","Planifiee","Moyenne","1","","","ACT-0002"
"ACT-0003","Epicerie transports","Recurrente","","GenÃ¨ve","Mardi et mercredi","","","","Planifiee","Moyenne","1","","","ACT-0003"
"ACT-0004","Epicerie mise en place","Recurrente","","GenÃ¨ve","Mardi et mercredi matin","","","","Planifiee","Moyenne","1","","","ACT-0004"
"ACT-0005","Epicerie gestion stock","Recurrente","","GenÃ¨ve","Mercredi après-midi","","","","Planifiee","Moyenne","1","","","ACT-0005"
"ACT-0006","Visite à domicile","Recurrente","","GenÃ¨ve","Selon disponibilités","","","","Planifiee","Moyenne","1","","","ACT-0006"
"ACT-0007","Appui informatique","Recurrente","","GenÃ¨ve","Selon disponibilités","","","","Planifiee","Moyenne","1","","","ACT-0007"
"ACT-0008","Atelier de cuisine","Recurrente","","GenÃ¨ve","1 lundi par mois","","","","Planifiee","Moyenne","1","","","ACT-0008"
"ACT-0009","Epicerie solidaire","Recurrente","","GenÃ¨ve","Mercredi après-midi","","","","Planifiee","Moyenne","1","","","ACT-0009"
"ACT-0010","Ludothèque","Recurrente","","GenÃ¨ve","Selon disponibilités","","","","Planifiee","Moyenne","1","","","ACT-0010"
"EVE-0001","Samedi du Partage 2016 nov","Ponctuelle","","GenÃ¨ve","Unique","26/11/2016 00:00:00","26/11/2016 00:00:00","","Planifiee","Moyenne","1","","","EVE-0001"
"EVE-0002","Samedi du Partage 2016 nov","Ponctuelle","","GenÃ¨ve","Unique","26/11/2016 00:00:00","26/11/2016 00:00:00","","Planifiee","Moyenne","1","","","EVE-0002"
"EVE-0003","Samedi du Partage 2016 juin","Ponctuelle","","GenÃ¨ve","Unique","25/06/2016 00:00:00","25/06/2016 00:00:00","","Planifiee","Moyenne","1","","","EVE-0003"
"EVE-0004","Samedi du Partage 2016 juin","Ponctuelle","","GenÃ¨ve","Unique","25/06/2016 00:00:00","25/06/2016 00:00:00","","Planifiee","Moyenne","1","","","EVE-0004"
"EVE-0005","ponctuellement","Ponctuelle","","GenÃ¨ve","Unique","24/01/2017 00:00:00","24/01/2017 00:00:00","","Planifiee","Moyenne","1","","","EVE-0005"
"EVE-0006","Noel migrants","Ponctuelle","","GenÃ¨ve","Unique","20/12/2016 00:00:00","20/12/2016 00:00:00","","Planifiee","Moyenne","1","","","EVE-0006"
"EVE-0007","Bonhomme Hiver 2017","Ponctuelle","","GenÃ¨ve","Unique","17/03/2017 00:00:00","17/03/2017 00:00:00","","Planifiee","Moyenne","1","","","EVE-0007"
"EVE-0008","Tour du canton 2017","Ponctuelle","","GenÃ¨ve","Unique","31/05/2017 00:00:00","31/05/2017 00:00:00","","Planifiee","Moyenne","1","","","EVE-0008"
"EVE-0009","Ethnopoly Sauvy 2017","Ponctuelle","","GenÃ¨ve","Unique","26/05/2017 00:00:00","26/05/2017 00:00:00","","Planifiee","Moyenne","1","","","EVE-0009"
"EVE-0010","Ethonopoly Palettes 2017","Ponctuelle","","GenÃ¨ve","Unique","08/06/2017 00:00:00","08/06/2017 00:00:00","","Planifiee","Moyenne","1","","","EVE-0010"
